Channel,Partner,Mature,Language,Date Created,Total Followers,Total Views,Average Viewers,Average Stream Duration,Game 1,Game 2,Game 3
crokeyz,True,False,English,14th Jun 2011,70011,5714347,2814,8.3,Magic: The Gathering,,
餐餐自由配 (blusewilly_retry),True,False,Chinese,12th Sep 2011,375648,91592627,6004,4.8,Paper Mario: The Origami King,Just Chatting,Chronicon
AgenteMaxo,False,False,Spanish,31st Mar 2018,290847,3274590,8897,6.3,Grand Theft Auto V,Fall Guys,Just Chatting
接接 (godjj),True,False,Chinese,3rd Apr 2010,332081,119015049,4455,3.9,Eternal Return: Black Survival,League of Legends,Hellpoint
iGeStarK,True,False,Spanish,3rd Aug 2014,255035,3267491,3225,9.0,Fortnite,Fall Guys,Marbles On Stream
Bonjwa,True,False,German,20th Oct 2014,124208,60208858,2080,12.3,Escape From Tarkov,Just Chatting,Fall Guys
Llobeti4,True,False,Spanish,1st Jan 2016,683873,10902791,8087,3.9,Fortnite,Fall Guys,Just Chatting
Pestily,True,True,English,3rd Nov 2015,620921,28780836,6203,7.5,Escape From Tarkov,PGA Tour 2K21,Rogue Company
hastad,True,False,Portuguese,17th Dec 2011,881203,46791608,2657,8.5,VALORANT,Just Chatting,Fall Guys
StereOnline,True,False,Portuguese,1st Jan 2015,330096,8971166,1075,78.4,Just Chatting,Automobilista 2,Unlisted on Twitch
Letshe,True,False,English,19th Nov 2017,911183,13531441,6743,3.1,Fortnite,Rust,Fall Guys
Shaunz,True,False,French,2nd May 2013,152678,14550312,4696,6.4,Teamfight Tactics,Outer Wilds,Just Chatting
Dementardo,True,False,Spanish,21st May 2017,607168,3088887,4419,5.9,Fall Guys,Grand Theft Auto V,Among Us
DessT3,True,True,Spanish,20th Apr 2019,127534,1964731,3948,7.0,Grand Theft Auto V,Fall Guys,Just Chatting
도현_ (d_obby),True,False,Korean,9th Sep 2016,198473,7180136,3723,8.2,Just Chatting,Hearthstone,Lost Ark Online
Amouranth,True,False,English,29th May 2016,1718967,139246361,2865,4.4,Just Chatting,ASMR,Fall Guys
Destiny,True,True,English,21st Nov 2010,574432,103188205,4490,4.3,Just Chatting,Dungeons & Dragons,League of Legends
Maximilian_DOOD,True,False,English,27th Apr 2012,834677,59689592,10465,4.7,Mortal Shell,Ultimate Marvel vs. Capcom 3,Ghost of Tsushima
sleepy,True,False,English,19th Sep 2016,325994,4161113,3619,8.0,Overwatch,Among Us,Fall Guys
Voyboy,True,False,English,1st Aug 2010,1255424,129563761,4131,6.1,League of Legends,Among Us,Fall Guys
Emongg,True,False,English,1st Jul 2011,509219,19835888,2275,10.8,Overwatch,Among Us,
knekro,True,False,Spanish,7th Apr 2017,270487,20499822,4455,7.4,Just Chatting,Fall Guys,Dead by Daylight
buddha,True,True,English,10th Oct 2016,248081,18874862,3313,9.0,Grand Theft Auto V,Fall Guys,Rust
RduLIVE,True,False,English,31st Mar 2014,236521,19652565,4040,6.2,Hearthstone,Raid: Shadow Legends,
72hrs,True,False,English,4th Sep 2015,1032451,26597839,3238,7.5,Fall Guys,Fortnite,Just Chatting
繽紛電影台 (franchiseglobalart),True,True,Chinese,4th May 2020,37855,2783555,1004,65.3,Just Chatting,,
Mongraal,True,False,English,1st Sep 2016,2999354,41649971,16182,5.1,Fortnite,Rogue Company,Fall Guys
Chap,True,False,English,24th Jan 2018,1286966,36509080,4060,5.6,Fortnite,Fall Guys,Just Chatting
m0xyy,True,False,English,14th Aug 2014,474036,10392493,2897,9.3,Among Us,Overwatch,League of Legends
chess24,True,False,English,16th Nov 2014,68032,25923567,3923,2.6,Chess,,
BeatportOfficial,True,False,English,22nd Aug 2019,135849,43838518,4535,5.5,Music,,
jean_mago,True,False,Portuguese,5th Aug 2018,349194,9644437,4516,8.9,League of Legends,Fall Guys,
BotezLive,True,False,English,23rd Jun 2016,342323,17625744,4524,5.1,Just Chatting,Fall Guys,Chess
peterparkTV,True,True,English,17th May 2016,155008,2602797,3680,11.1,Among Us,Ghost of Tsushima,Fall Guys
Daxak,True,False,Russian,4th Apr 2013,121405,8215391,3226,8.1,Dota 2,Fall Guys,
C_a_k_e,True,False,Russian,24th May 2013,306671,61952995,4635,6.3,Fall Guys,Heroes of Might and Magic III: The Shadow of Death,Grand Theft Auto V
Staiy,True,False,German,11th Sep 2013,260721,25002162,5388,4.9,Just Chatting,EA Sports UFC 4,Grand Theft Auto V
Felps,True,False,Portuguese,19th May 2012,855278,15001120,3558,7.0,Dead by Daylight,Just Chatting,Unlisted on Twitch
Ramee,True,False,English,11th Jul 2015,134232,8340538,3011,8.9,Grand Theft Auto V,Fall Guys,Rogue Company
Xari,True,False,French,11th Apr 2015,271617,8997959,5604,5.1,Just Chatting,Hitman 2,League of Legends
BobRoss,True,False,English,28th Oct 2015,1526017,36838021,2100,49.3,Art,,
supertf,True,False,English,25th Mar 2014,202712,4565059,4128,5.8,Overwatch,Among Us,Fall Guys
PENTA,True,True,English,3rd Mar 2015,154090,5962444,2865,10.3,Grand Theft Auto V,Among Us,Fall Guys
VERNI_SHAVERMY,True,False,Russian,16th Sep 2016,107354,4646997,3355,3.8,Just Chatting,Hearthstone,Grand Theft Auto V
Vinesauce,True,True,English,26th Oct 2011,444422,35749331,6051,3.8,Paper Mario: The Origami King,Games + Demos,Perfect Dark
SPYGEA,True,False,Japanese,9th Mar 2010,224272,28248440,3745,7.0,VALORANT,Apex Legends,Hyper Scape
shongxbong,True,False,Arabic,27th Jul 2018,856549,4833577,10713,3.4,Fortnite,Call of Duty: Modern Warfare,PUBG MOBILE
SkipNhOLIVE,True,False,Portuguese,28th Feb 2014,328150,7369269,928,37.3,Just Chatting,Call of Duty: Modern Warfare,Grand Theft Auto V
CSRuHub,True,False,Russian,19th Feb 2016,519897,85610822,2492,8.0,Counter-Strike: Global Offensive,,
BarbarousKing,True,True,English,15th Feb 2014,160216,9106307,2446,5.7,Fall Guys,The Legend of Zelda: Breath of the Wild,Super Mario Maker 2
Sequisha,True,True,English,14th Oct 2011,254700,16750911,2388,10.0,Rust,New World,League of Legends
orangemorange,True,False,German,8th Jul 2015,265423,14583696,3220,7.2,Grand Theft Auto V,Fall Guys,Just Chatting
forever,True,False,Portuguese,12th Dec 2019,419021,3265318,8076,4.2,Minecraft,Grounded,Just Chatting
deercheerup,False,True,Portuguese,4th Aug 2018,183942,3618398,4687,6.5,Counter-Strike: Global Offensive,Just Chatting,Fall Guys
Frankkaster,True,True,Spanish,23rd Apr 2014,836598,18264193,6488,4.2,Slots,Counter-Strike: Global Offensive,New World
polsatgames,True,False,Polish,29th Aug 2018,144063,24830535,6154,4.8,League of Legends,,
upmedia_live,True,False,Chinese,1st Jun 2017,81475,21959995,8072,5.3,League of Legends,,
EdenEsports,True,False,English,30th Jun 2014,52385,8110110,2296,10.5,Counter-Strike: Global Offensive,,
플러리 (flurry1989),True,False,Korean,31st May 2015,170353,22536840,4692,7.4,Hearthstone,StarCraft,Super Mario Maker 2
DavyJones,True,False,Portuguese,28th Jan 2013,985691,19237551,4278,5.1,Call of Duty: Modern Warfare,Special Events,Fall Guys
gratis150ml,True,False,Portuguese,26th Nov 2013,746307,61517494,1948,10.2,League of Legends,Terraria,Dota 2
japanese_restream,True,False,Japanese,14th Jan 2017,22428,6015015,3559,40.0,Final Fantasy VII Remake,Pokémon Sword/Shield,Secret of Mana
RiotGamesJP,True,False,Japanese,20th Oct 2015,142900,33753615,10925,6.4,League of Legends,Teamfight Tactics,Legends of Runeterra
BigEx,True,False,English,8th Feb 2019,258733,2544896,2577,7.9,Grand Theft Auto V,Fall Guys,Just Chatting
Ponce,True,False,French,24th Oct 2013,247300,15989873,4807,6.4,Just Chatting,Golf It!,Fall Guys
SkyrrozTV,True,False,French,29th Nov 2013,608569,11176357,4267,4.0,Call of Duty: Modern Warfare,Apex Legends,Fall Guys
WOKE,True,True,English,22nd Feb 2013,111530,3852878,2334,8.9,Just Chatting,,
chowh1,True,True,French,27th Feb 2016,120341,5746263,3508,4.5,Call of Duty: Modern Warfare,Apex Legends,
pqueen,True,False,Turkish,10th Oct 2017,511148,12333200,4334,6.4,Just Chatting,Fall Guys,Life Is Strange: Before the Storm
Albralelie,True,False,English,15th Jan 2016,254357,6273679,3294,7.0,Apex Legends,VALORANT,League of Legends
김나성 (naseongkim),True,False,Korean,9th Oct 2015,104001,19534900,1956,10.7,Sea of Thieves,Just Chatting,League of Legends
Kyle,True,True,English,24th Apr 2017,183767,9957709,2723,7.4,Grand Theft Auto V,Fall Guys,Microsoft Flight Simulator
MckyTV,True,False,German,6th Sep 2015,729129,20094599,3400,7.7,Just Chatting,Fortnite,Fall Guys
철면수심 (109ace),True,False,Korean,23rd Sep 2015,168787,21100927,2554,9.3,Hearthstone,Just Chatting,League of Legends
Sacriel,True,False,English,29th Jul 2011,672189,125857566,3507,7.8,Escape From Tarkov,Horizon Zero Dawn,Warframe
Alexby11,True,False,Spanish,29th Jan 2011,1482374,10480331,8075,3.9,Fall Guys,Minecraft,Just Chatting
R6esportsBR,True,False,Portuguese,13th Aug 2016,324816,23878096,2745,5.0,Tom Clancy,,
roflgator,True,True,English,15th Apr 2010,107981,3787424,2906,7.9,VRChat,Minecraft,Just Chatting
Flight23white,True,False,English,8th Nov 2013,922390,3148129,21455,3.5,NBA 2K20,Fall Guys,Madden NFL 21
chocoTaco,True,False,English,25th Aug 2014,1140101,50796906,2961,5.2,PLAYERUNKNOWN,Call of Duty: Modern Warfare,Fall Guys
FPSThailand,True,False,Thai,16th Dec 2012,391589,50606234,3471,3.4,VALORANT,PLAYERUNKNOWN,Fitness & Health
Zombie_Barricades,True,True,English,11th Sep 2012,175262,10467905,2115,7.4,Grand Theft Auto V,New World,
BeBePtv,True,False,Russian,16th Jan 2016,58022,83592470,3278,3.9,Dota 2,Just Chatting,Dark Souls III
FlowPodcast,True,False,Portuguese,17th Mar 2019,462679,3064095,6166,6.6,Talk Shows & Podcasts,Just Chatting,Hearthstone
羅傑 (roger9527),True,False,Chinese,5th Jul 2014,131618,15007566,6720,10.8,Hearthstone,,
FaZeBlaze,True,False,English,4th May 2014,321150,1202117,3042,6.3,Call of Duty: Modern Warfare,,
GeorgeNotFound,True,False,English,26th Nov 2019,580353,1169604,23351,3.1,Minecraft,Fall Guys,Just Chatting
VooDooSh,True,True,Russian,4th Apr 2015,90571,11085874,3502,6.4,Heroes of Might and Magic III: The Shadow of Death,Poker,World of Warcraft
yamatonjp,True,False,Japanese,1st Mar 2014,181851,24734011,2890,7.0,Apex Legends,Life Is Strange,Siren: Blood Curse
Tubbo,True,False,English,15th May 2018,221319,1385159,6634,4.0,Minecraft,Just Chatting,Among Us
RocketBeansTV,False,False,German,15th Aug 2013,420176,83208325,801,143.8,Talk Shows & Podcasts,Dark Souls II: Scholar of the First Sin,Alien: Isolation
BurkeBlack,True,True,English,4th Jun 2013,277175,27291041,2275,9.0,Microsoft Flight Simulator,WolfPack,Horizon Zero Dawn
懶貓 (failverde),True,False,Chinese,4th Aug 2011,170983,34995148,2641,9.0,Just Chatting,,
boxbox,True,False,English,30th Dec 2012,1725059,103013073,3463,6.8,Fall Guys,League of Legends,osu!
ElmiilloR,True,False,Spanish,17th Jun 2013,429818,46805673,4942,6.7,League of Legends,Just Chatting,Fall Guys
PietSmiet,True,False,German,25th Apr 2011,581275,33605930,4727,3.9,Fall Guys,Microsoft Flight Simulator,Just Chatting
Locklear,True,False,French,18th Oct 2016,832264,25752354,5752,5.5,Just Chatting,Horizon Zero Dawn,Fall Guys
Towelliee,True,False,English,23rd Feb 2011,707346,148454488,2388,6.4,World of Warcraft,New World,Raid: Shadow Legends
中信兄弟官方頻道 (brothers_baseball),True,False,Chinese,25th Mar 2020,50171,5884821,5040,2.7,Sports,,
殺梗 (xargon0731),True,False,Chinese,7th Aug 2013,283690,87640128,3053,6.7,Dead by Daylight,Just Chatting,Hyper Scape
Recrent,True,False,Russian,8th Jan 2013,230098,14519982,2606,7.5,Call of Duty: Modern Warfare,Fall Guys,Hyper Scape
dreamwastaken,False,False,English,30th Jul 2019,756459,1456455,42207,2.0,Minecraft,Just Chatting,
DreadzTV,True,True,Russian,6th Jun 2012,675947,174707127,3547,9.4,Heroes of Might and Magic III: The Shadow of Death,Diablo II: Lord of Destruction,Conan Exiles
MatteoHS,True,False,Italian,15th May 2016,438757,12539159,1077,16.5,Just Chatting,Grand Theft Auto V,Fall Guys
Nadeshot,True,True,English,14th Mar 2011,1497565,52802733,6990,5.3,Call of Duty: Modern Warfare,Fall Guys,PGA Tour 2K21
DarioMocciaTwitch,True,False,Italian,11th Dec 2013,120875,5092770,2087,6.9,Just Chatting,Cuphead,NieR Automata
sips_,True,True,English,3rd Dec 2011,434941,14793202,4255,6.1,Fall Guys,PGA Tour 2K21,Microsoft Flight Simulator
Vovo,True,True,Portuguese,3rd Oct 2016,145827,5357302,2457,10.0,Grand Theft Auto V,Just Chatting,Virtual Casino
Aurateur,True,True,English,20th Nov 2015,143236,9794422,2270,8.4,Super Mario Maker 2,Fall Guys,Hearthstone
repazmois,True,False,German,30th Aug 2015,340137,4034284,2699,5.3,Fall Guys,Fortnite,Just Chatting
踢虧 (takesipon),True,False,Chinese,25th May 2011,59512,10650553,3576,5.8,Dead by Daylight,Just Chatting,How to Survive 2
앰비션_ (lol_ambition),True,False,Korean,6th Apr 2017,366797,38519923,4153,4.8,League of Legends,Just Chatting,
악어 (jdm2088),True,False,Korean,28th Oct 2016,279230,7558994,8954,3.2,Minecraft,Just Chatting,Lost Ark Online
AsmodaiTV,True,False,English,10th Dec 2013,247705,28801971,2659,6.5,Hearthstone,,
DansGaming,True,False,English,14th Jul 2009,817329,129868785,3397,3.8,Fall Guys,Marvel,Diablo
Nikolarn,True,False,English,13th Jul 2014,526702,6905350,3555,5.6,Rogue Company,Hyper Scape,Poker
다주 (dda_ju),True,False,Korean,23rd Oct 2016,211753,9763454,2938,7.2,Lost Ark Online,Just Chatting,Minecraft
KingRichard,True,False,English,19th Jul 2014,1539440,38723011,3087,7.0,Call of Duty: Modern Warfare,Rogue Company,Fall Guys
goncho,True,True,Spanish,2nd Feb 2016,459842,12017925,3540,5.3,Fall Guys,Just Chatting,Counter-Strike: Global Offensive
FlexZ,True,False,Spanish,30th Jan 2013,163372,3813458,2649,6.6,Call of Duty: Modern Warfare,Just Chatting,Fall Guys
AvoidingThePuddle,True,True,English,18th Jul 2011,337764,23268086,4530,3.9,Fall Guys,Mortal Shell,Retro
StreamieBR,True,False,Portuguese,26th Jul 2017,94051,2365006,803,59.5,League of Legends,Just Chatting,Fall Guys
Otzdarva,True,False,English,28th Apr 2014,270846,5586120,4226,6.2,Dead by Daylight,Mortal Shell,Fall Guys
Giantwaffle,True,False,English,22nd May 2011,882636,66826849,2531,8.1,Microsoft Flight Simulator,Terraria,Factorio
thedarkness,True,False,Portuguese,3rd Dec 2013,549399,28499689,2642,7.8,Call of Duty: Modern Warfare,Grand Theft Auto V,Automobilista 2
kyo1984123,True,False,Chinese,22nd Mar 2016,136090,52838184,1628,6.1,Slam Dunk,Just Chatting,Hearthstone
melharucos,True,True,Russian,16th Dec 2011,331066,55347350,3613,6.3,Fall Guys,World of Warcraft,Just Chatting
LeFrenchRestream,True,False,French,19th Oct 2016,60111,26543989,3358,80.0,Unlisted on Twitch,Final Fantasy VII Remake,The Legend of Zelda: Twilight Princess HD
Aydan,True,True,English,29th Mar 2016,1708487,26045878,2804,7.8,Call of Duty: Modern Warfare,Fall Guys,Rogue Company
Elwind,True,False,Turkish,22nd Sep 2014,713428,35269423,6713,4.4,League of Legends,Just Chatting,Fall Guys
JeelTV,True,False,French,28th Jan 2016,370318,10212800,3352,5.7,Fall Guys,Just Chatting,Raft
RenanSouzones,True,False,Portuguese,24th Feb 2012,131507,2313733,1297,8.4,VALORANT,Just Chatting,Reprisal
sujagg,True,False,Spanish,19th Jul 2015,166497,2035928,2007,6.5,Fortnite,Just Chatting,
GALLERIA_GM,True,False,Japanese,7th Aug 2017,25040,2157601,9887,6.6,VALORANT,Pacify,
Klean,True,False,English,10th Jun 2016,277685,15713954,2391,7.1,Escape From Tarkov,Due Process,Mordhau
BastiGHG,True,False,German,1st Dec 2012,512743,16739934,2497,6.1,Minecraft,eFootball PES 2020,Clubhouse Games: 51 Worldwide Classics
홍방장 (game2eye),True,False,Korean,11th Nov 2014,184005,18031649,2499,8.5,The Long Dark,,
Sh4dowehhh,True,False,Russian,17th Aug 2013,91072,7541509,2543,9.1,Dota 2,Detroit: Become Human,Just Chatting
WELOVEGAMES,True,False,Russian,26th May 2012,416103,89467785,3155,6.3,Fall Guys,Just Chatting,Mortal Shell
NymN,True,True,English,8th May 2014,243449,9145941,3339,6.8,Just Chatting,Fall Guys,Among Us
똘똘똘이_ (jungtaejune),True,False,Korean,24th Mar 2015,125027,25139817,1867,7.9,Just Chatting,Food & Drink,Sea of Thieves
k3soju,True,False,English,1st Jul 2016,78445,2759004,2972,7.3,Teamfight Tactics,Among Us,Fall Guys
aminematue,True,False,French,6th Jan 2019,127955,2467144,2945,8.0,Grand Theft Auto V,Just Chatting,Fall Guys
KarmikKoala,True,False,Russian,10th Jan 2014,156423,14025839,2586,8.6,Diablo II: Lord of Destruction,Dishonored,Horizon Zero Dawn
Mickalow,True,False,French,21st May 2012,875701,19690560,2058,10.7,Fall Guys,Horizon Zero Dawn,Call of Duty: Modern Warfare
zackrawrr,False,False,English,7th Jul 2020,171681,1071064,6730,5.7,World of Warcraft,Sekiro: Shadows Die Twice,Bloodborne
Payo,True,False,English,25th Mar 2014,177094,14679055,2908,7.5,World of Warcraft,Just Chatting,
BarcaGamer,True,False,Spanish,29th Apr 2016,673917,4127245,4809,5.9,Just Chatting,Fall Guys,Rocket League
BobbyPoffGaming,True,False,English,8th Apr 2018,130107,3017744,1419,12.1,Call of Duty: Modern Warfare,Fall Guys,Call of Duty: Black Ops 4
오킹 (obm1025),True,False,Korean,22nd Jul 2017,434678,15465964,3850,4.2,Just Chatting,Food & Drink,PLAYERUNKNOWN
탬탬버린 (2chamcham2),True,False,Korean,4th Sep 2016,491901,31028034,4666,5.1,Terraria,Just Chatting,League of Legends
rhobalas_lol,True,False,French,30th Mar 2017,104001,5023172,1700,7.8,Fall Guys,League of Legends,Mordhau
Mibrtv,True,False,Portuguese,6th Mar 2009,283037,8058261,37244,3.0,Counter-Strike: Global Offensive,,
Faah,True,True,Portuguese,17th Feb 2017,106229,2892505,697,89.4,Fortnite,Fall Guys,VALORANT
DissplayCosmicPower,False,True,English,12th Mar 2018,11996,59115,928,17.6,Diablo III: Reaper of Souls,Unlisted on Twitch,
FollowGrubby,True,False,English,9th Mar 2011,430779,60783103,2453,7.2,Warcraft III,Heroes of the Storm,Humankind
ReventXz,True,False,Spanish,7th Feb 2013,363907,12066926,7186,4.8,Teamfight Tactics,Fall Guys,
Flashpoint,True,False,English,5th Feb 2020,153825,29104375,9756,4.1,VALORANT,Counter-Strike: Global Offensive,
Loeya,True,False,English,23rd Jul 2017,1237808,46252061,2598,7.0,Fortnite,Fall Guys,Rogue Company
lolesportsla,True,False,Spanish,15th Dec 2016,199135,12484558,3764,3.5,League of Legends,Teamfight Tactics,
Savjz,True,False,English,3rd May 2013,543197,59363266,4552,5.0,Hearthstone,Among Us,Legends of Runeterra
singsing,True,True,English,28th Mar 2011,572450,86178535,2458,6.8,Dota 2,Death Stranding,Hellpoint
tebtv,True,False,English,22nd Oct 2018,79219,13584477,3252,7.6,Counter-Strike: Global Offensive,,
Jerma985,True,True,English,8th Aug 2011,338828,11470747,7308,4.9,SpongeBob SquarePants: Battle for Bikini Bottom – Rehydrated,House Flipper,Mercenaries 2: World in Flames
선바 (sunbaking),True,False,Korean,3rd Feb 2016,254911,7642354,3421,6.7,Just Chatting,League of Legends,Minecraft
Academy,True,False,English,16th May 2016,308209,18922169,14139,4.1,League of Legends,,
Mathil1,True,False,English,19th Oct 2011,294337,38671797,2625,6.1,Path of Exile,,
Adin2Huncho,True,False,English,20th Mar 2014,210533,1176893,5337,4.6,NBA 2K20,Unlisted on Twitch,Call of Duty: Modern Warfare
StaysafeTV,True,True,English,19th Apr 2012,149934,12265912,2431,7.2,World of Warcraft,Just Chatting,Among Us
aXtLOL,True,False,Portuguese,27th Mar 2013,768050,47047608,4679,5.0,Just Chatting,League of Legends,New World
KYR_SP33DY,True,False,English,9th Mar 2010,708548,7575982,2619,3.4,Fall Guys,Call of Duty: Modern Warfare,Minecraft
PAGO3,True,False,Polish,2nd Apr 2012,427592,40245456,2328,9.2,Counter-Strike: Global Offensive,Just Chatting,Among Us
JoshOG,True,False,English,9th Jan 2014,1748609,95678291,2277,7.0,Grand Theft Auto V,New World,Fall Guys
ElRichMC,True,False,Spanish,19th May 2012,706533,16842918,7529,4.0,Minecraft,Fall Guys,Don
Mylonzete,True,False,Portuguese,13th Feb 2013,264386,5740419,3816,6.5,League of Legends,Fall Guys,Just Chatting
Shotz,True,True,English,15th Jan 2016,160592,9297208,2400,8.5,Grand Theft Auto V,Rogue Company,Fall Guys
k1ng,True,False,Spanish,27th Oct 2018,744071,7058647,10402,2.1,Fortnite,VALORANT,
포셔 (portialyn),True,False,Korean,23rd Mar 2017,41103,2964868,2109,7.5,Hearthstone,,
GrandPOObear,True,True,English,25th Dec 2013,257259,11516106,2748,6.8,Fall Guys,Super Mario World,Hollow Knight
Rammus53,True,True,Turkish,13th Oct 2014,990295,27329512,2975,6.5,PLAYERUNKNOWN,Counter-Strike: Global Offensive,Fall Guys
RebirthzTV,True,False,Thai,5th Oct 2013,277809,21085952,3127,6.1,Grand Theft Auto V,Among Us,Fall Guys
Dmitry_Lixxx,True,False,Russian,4th Jan 2018,357689,9312679,6698,2.8,Just Chatting,Fall Guys,The Complex
G4G_REVENANT,True,False,Spanish,13th Dec 2012,285829,15664915,3320,5.9,League of Legends,Just Chatting,Mortal Shell
Overpow,True,True,Polish,24th Oct 2009,255521,39094135,2123,7.4,League of Legends,Among Us,Dota 2
ANGRYPUG,True,True,English,25th May 2014,367893,25348281,1538,6.6,Fall Guys,Call of Duty: Modern Warfare,Dead by Daylight
daltoosh,True,False,English,19th Sep 2018,250096,4940943,2423,8.1,Apex Legends,Hyper Scape,Rogue Company
LigaPro1,False,False,Other,3rd Jun 2019,32191,63551392,1273,5.9,FIFA 20,,
orslok,True,False,Spanish,25th Sep 2011,356052,5912244,6308,4.2,Just Chatting,Fall Guys,Among Us
Gladd,True,False,English,2nd Feb 2015,339786,15767300,2028,8.0,Destiny 2,Fall Guys,Horizon Zero Dawn
LuluLuvely,True,False,English,30th Jun 2015,450722,7889784,3681,6.3,Apex Legends,Among Us,Rogue Company
Homyatol,True,True,Italian,16th Mar 2011,383281,9290147,4747,4.2,Just Chatting,Fall Guys,Among Us
fl0m,True,False,English,26th Sep 2011,660192,46966009,1927,7.9,Counter-Strike: Global Offensive,Risk of Rain 2,Warframe
RakanooLive,True,False,Arabic,24th Mar 2016,1252827,11164185,3340,6.8,Call of Duty: Modern Warfare,Fortnite,Fall Guys
modestal,True,False,Russian,13th Jan 2016,330502,16462452,6810,3.6,Just Chatting,,
Sjow,True,False,English,24th May 2011,240358,32674954,3059,5.6,Hearthstone,Fall Guys,StarCraft II
midbeast,True,False,English,28th May 2015,334082,16836243,3069,6.3,League of Legends,Fall Guys,Old School RuneScape
itsRyanHiga,False,False,English,5th Mar 2019,214503,1903369,2323,6.7,Minecraft,VALORANT,Just Chatting
Jay3,True,False,English,26th Aug 2016,194870,4608434,1687,5.9,Overwatch,Among Us,Unlisted on Twitch
ZanoXVII,True,False,Italian,23rd Nov 2014,528041,9273445,4080,5.4,Just Chatting,Fall Guys,Call of Duty: Modern Warfare
NeverSayYesTwitch,True,False,French,3rd Jul 2015,201458,3705308,2470,8.8,Fortnite,Just Chatting,
KingGeorge,True,False,English,29th Feb 2016,773412,18946124,2277,6.3,Tom Clancy,Rogue Company,Halo: The Master Chief Collection
twlevewinsHS,True,False,English,30th Jun 2015,39578,1707396,1936,5.4,Hearthstone,Fall Guys,
landonorris,True,True,English,19th Sep 2017,615517,14677228,10025,2.8,Fall Guys,Just Chatting,Call of Duty: Modern Warfare
boltz,True,False,Portuguese,11th Dec 2013,245443,4727330,3695,5.0,Counter-Strike: Global Offensive,Fall Guys,
bateson87,True,False,English,19th Feb 2012,603376,29875418,2609,7.5,Fall Guys,FIFA 20,F1 2020
BeyondTheSummit,True,False,English,6th Apr 2012,922624,446653622,625,102.7,Dota 2,,
MasterSnakou,True,False,French,6th Apr 2013,450458,21093218,1821,5.4,Red Dead Redemption 2,Death Stranding,Just Chatting
IamCristinini,True,False,Spanish,10th May 2016,424457,22419792,2743,7.2,Minecraft,Just Chatting,Grand Theft Auto V
MacieJay,True,False,English,21st Apr 2016,843385,17215067,1927,7.5,Tom Clancy,Art,Hyper Scape
DuendePablo,True,False,Spanish,21st Aug 2013,533562,19248733,2548,5.6,Fall Guys,Just Chatting,VALORANT
aedrons,True,False,Portuguese,1st Mar 2012,29695,4469824,618,119.3,Dota 2,,
Annoying,True,False,English,31st May 2015,437311,4781464,5791,6.1,NBA 2K20,Fall Guys,Grand Theft Auto V
강지 (rkdwl12),True,False,Korean,1st Mar 2017,513261,19978817,2441,7.6,Just Chatting,PLAYERUNKNOWN,League of Legends
MANvsGAME,True,True,English,17th Sep 2009,510699,67843052,1918,10.1,Nioh 2,Mortal Shell,Spelunky
miniminter,True,False,English,31st Jan 2013,887161,18297938,4614,3.4,Fall Guys,Call of Duty: Modern Warfare,FIFA 20
Mixwell,True,False,Spanish,14th Jul 2015,339865,7512911,7179,3.3,VALORANT,Fall Guys,Aim Lab
인간젤리 (ses836),True,False,Korean,8th Sep 2013,107212,13103434,1966,8.6,League of Legends,Dead by Daylight,Epic Seven
JTGTV,True,True,Turkish,1st Aug 2016,430983,32989310,10029,3.8,Talk Shows & Podcasts,,
Zizaran,True,False,English,27th Sep 2012,268265,45827141,1634,9.4,Path of Exile,Diablo II: Lord of Destruction,Fall Guys
Sanchovies,True,False,English,12th Feb 2016,160678,4454807,1873,5.4,League of Legends,Fall Guys,
Staryuuki,True,False,Spanish,28th Jul 2017,621104,6416782,3703,4.3,Just Chatting,Fall Guys,Resident Evil 3
resttpowered,True,False,Slovak,12th Oct 2013,253239,42798162,2582,6.2,Just Chatting,Fall Guys,The Long Dark
파카9999 (paka9999),True,False,Korean,13th Jul 2017,70453,2079596,4667,4.5,League of Legends,Minecraft,Fall Guys
옥냥이 (rooftopcat99),True,False,Korean,4th Nov 2016,217464,12691946,3542,6.2,Hearthstone,Just Chatting,Sid Meier
Grimmmz,True,True,English,31st Dec 2009,1002490,52687764,1619,9.9,Escape From Tarkov,New World,DayZ
JLAmaru,True,True,French,9th May 2018,107666,2221479,3454,5.3,Just Chatting,Grand Theft Auto V,Fall Guys
개복어 (dogswellfish),True,False,Korean,20th Sep 2013,217222,25942724,1866,8.1,Just Chatting,Microsoft Flight Simulator,Assassin
ESL_CSGOb,True,False,English,3rd Sep 2012,590688,38642254,4626,6.9,Counter-Strike: Global Offensive,,
The_Happy_Hob,True,True,English,7th Apr 2015,217371,13848055,3250,5.0,Sekiro: Shadows Die Twice,Dark Souls III,Dark Souls
SoloRenektonOnly,True,False,English,2nd May 2012,393609,15343153,1844,4.7,League of Legends,,
Sloot,True,False,English,29th Mar 2012,206474,32448240,1492,12.2,World of Warcraft,Fall Guys,New World
livekiss,True,False,Chinese,3rd Dec 2015,31323,12814432,1313,82.8,Music,,
JEFFAOCS,True,True,Portuguese,29th Mar 2013,115498,4032560,719,26.5,Grand Theft Auto V,Virtual Casino,Counter-Strike: Global Offensive
TenZ,True,False,English,30th Aug 2014,344689,4628819,6778,3.4,VALORANT,Counter-Strike: Global Offensive,Fall Guys
