Channel,Partner,Mature,Language,Date Created,Total Followers,Total Views,Average Viewers,Average Stream Duration,Game 1,Game 2,Game 3
sneakylol,True,False,English,2nd Sep 2011,1666705,118451061,7855,9.5,League of Legends,Half-Life: Alyx,Remnant: From the Ashes
Hiko,True,False,English,23rd Dec 2011,1030191,29948221,15738,5.3,VALORANT,Aim Lab,
x2Twins,True,False,English,6th Jan 2018,1336243,19037591,8065,8.6,Fortnite,Fall Guys,Grounded
Lord_Kebun,True,False,English,9th Jul 2017,436937,33533237,9908,8.1,Grand Theft Auto V,Fall Guys,Rogue Company
LPL,True,False,English,16th May 2016,531766,60965364,15003,4.2,League of Legends,Teamfight Tactics,
Solary,True,False,French,21st Sep 2017,495395,128285308,3040,49.3,League of Legends,VALORANT,DragonBall Z: Dokkan Battle
AdmiralBahroo,True,False,English,4th Mar 2013,778736,61298855,10201,7.2,Darkest Dungeon,Risk of Rain 2,Undermine
EmadGG,True,False,English,25th Apr 2017,719659,10924204,7209,8.1,Fortnite,Just Chatting,
Quin69,True,True,English,12th Feb 2014,540538,74084347,8845,7.4,Minecraft,Subnautica,Just Chatting
SolaryFortnite,True,False,French,26th Feb 2018,1490286,87765433,3476,30.4,Fortnite,Grand Theft Auto V,Fall Guys
Brunenger,True,False,Spanish,28th Jun 2015,696877,14144404,8845,8.1,Just Chatting,Fall Guys,Slots
MOONMOON,True,True,English,5th Apr 2016,926907,74489161,12284,6.6,Risk of Rain 2,Smite,PGA Tour 2K21
Rainbow6,True,True,English,27th Jun 2014,1512407,56576058,15966,7.4,Tom Clancy,,
fps_shaka,True,False,Japanese,19th Sep 2013,309339,42192346,7648,8.6,Apex Legends,Fall Guys,Monster Hunter World
GMHikaru,True,False,English,29th Sep 2015,520458,25249949,11354,4.4,Chess,Fall Guys,Just Chatting
Amar,True,False,German,1st Aug 2014,616133,17746943,12696,6.2,Fortnite,Fall Guys,Call of Duty: Modern Warfare
nl_Kripp,True,False,English,14th Apr 2012,1380089,245098740,8883,6.8,Hearthstone,Sid Meier,Magic: The Gathering
Gorgc,True,True,English,28th Nov 2015,393925,44746549,9524,7.0,Dota 2,Just Chatting,Fall Guys
RTAinJapan,True,False,Japanese,17th Sep 2016,71730,5005729,24545,80.0,Unlisted on Twitch,Dragon Quest XI,Final Fantasy VI
